Freq[Hz]     dBSPL  Phase[Deg]
553.943     88.600    -9.331
562.001     88.520    -9.009
570.175     88.445    -8.572
578.469     88.395    -8.046
586.883     88.359    -7.462
595.419     88.354    -6.853
604.080     88.376    -6.305
612.866     88.411    -5.857
621.780     88.452    -5.497
630.824     88.495    -5.213
640.000     88.529    -4.939
649.309     88.582    -4.669
658.753     88.645    -4.473
668.335     88.713    -4.361
678.056     88.789    -4.361
687.919     88.858    -4.490
697.925     88.915    -4.727
708.077     88.950    -5.039
718.376     88.956    -5.350
728.825     88.937    -5.564
739.426     88.906    -5.625
750.181     88.882    -5.546
761.093     88.866    -5.357
772.163     88.871    -5.110
783.394     88.888    -4.879
794.789     88.893    -4.608
806.349     88.906    -4.212
818.078     88.942    -3.709
829.977     89.008    -3.137
842.050     89.122    -2.572
854.298     89.291    -2.188
866.724     89.482    -2.117
879.330     89.673    -2.372
892.120     89.847    -2.956
905.097     89.967    -3.773
918.262     90.031    -4.633
931.618     90.049    -5.389
945.169     90.036    -5.933
958.917     90.016    -6.217
972.864     90.015    -6.285
987.015     90.045    -6.233
1001.37     90.108    -6.177
1015.94     90.193    -6.215
1030.71     90.270    -6.336
1045.71     90.336    -6.435
1060.92     90.403    -6.423
1076.35     90.494    -6.263
1092.00     90.652    -6.087
1107.89     90.868    -6.146
1124.00     91.101    -6.571
1140.35     91.331    -7.407
1156.94     91.509    -8.561
1173.77     91.633    -9.800
1190.84     91.736   -11.025
1208.16     91.818   -12.234
1225.73     91.891   -13.435
1243.56     91.957   -14.687
1261.65     91.993   -15.978
1280.00     92.002   -17.240
1298.62     91.981   -18.401
1317.51     91.943   -19.398
1336.67     91.903   -20.231
1356.11     91.863   -20.917
1375.84     91.835   -21.470
1395.85     91.825   -21.948
1416.15     91.824   -22.386
1436.75     91.837   -22.793
1457.65     91.860   -23.190
1478.85     91.894   -23.592
1500.36     91.934   -24.012
1522.19     91.975   -24.437
1544.33     92.015   -24.834
1566.79     92.067   -25.198
1589.58     92.125   -25.541
1612.70     92.196   -25.874
1636.16     92.275   -26.227
1659.95     92.350   -26.568
1684.10     92.426   -26.823
1708.60     92.519   -26.972
1733.45     92.638   -27.045
1758.66     92.785   -27.072
1784.24     92.963   -27.057
1810.19     93.189   -27.065
1836.52     93.444   -27.117
1863.24     93.748   -27.197
1890.34     94.109   -27.373
1917.83     94.538   -27.720
1945.73     95.036   -28.278
1974.03     95.655   -29.254
2002.74     96.358   -31.006
2031.87     97.070   -33.661
2061.43     97.789   -37.299
2091.41     98.471   -42.075
2121.83     99.046   -47.868
2152.69     99.512   -54.499
2184.01     99.840   -61.904
2215.77     99.978   -69.864
2248.00     99.905   -77.974
2280.70     99.641   -85.842
2313.87     99.212   -93.194
2347.53     98.672   -99.979
2381.68     98.028  -106.176
2416.32     97.326  -111.841
2451.46     96.509  -116.902
2487.12     95.556  -120.904
2523.30     94.558  -123.682
2560.00     93.517  -125.225
2597.24     92.524  -125.543
2635.01     91.718  -125.068
2673.34     91.041  -124.197
2712.23     90.546  -123.217
