Freq[Hz]     dBSPL  Phase[Deg]
3891.46     91.024    -6.716
3948.06     91.059    -8.146
4005.49     91.035    -9.592
4063.75     90.952   -10.899
4122.86     90.823   -11.916
4182.82     90.679   -12.557
4243.66     90.553   -12.855
4305.39     90.467   -12.919
4368.01     90.431   -12.896
4431.55     90.436   -12.919
4496.01     90.467   -13.062
4561.40     90.508   -13.335
4627.75     90.551   -13.714
4695.06     90.595   -14.177
4763.35     90.639   -14.711
4832.64     90.682   -15.313
4902.93     90.726   -15.987
4974.24     90.767   -16.744
5046.60     90.803   -17.596
5120.00     90.827   -18.539
5194.47     90.830   -19.548
5270.03     90.809   -20.567
5346.68     90.763   -21.539
5424.45     90.696   -22.405
5503.35     90.617   -23.119
5583.40     90.539   -23.667
5664.61     90.472   -24.062
5747.01     90.433   -24.360
5830.60     90.422   -24.650
5915.41     90.436   -25.011
6001.45     90.465   -25.501
6088.74     90.492   -26.131
6177.30     90.504   -26.845
6267.15     90.503   -27.567
6358.31     90.502   -28.277
6450.80     90.503   -28.996
6544.62     90.510   -29.753
6639.82     90.521   -30.593
6736.40     90.524   -31.544
6834.38     90.502   -32.553
6933.79     90.459   -33.549
7034.64     90.398   -34.485
7136.96     90.325   -35.333
7240.77     90.246   -36.083
7346.09     90.169   -36.741
7452.94     90.090   -37.308
7561.35     90.018   -37.777
7671.33     89.955   -38.159
7782.91     89.909   -38.476
7896.12     89.882   -38.758
8010.97     89.878   -39.055
8127.49     89.891   -39.405
8245.71     89.919   -39.824
8365.65     89.962   -40.338
8487.33     90.016   -40.984
8610.78     90.071   -41.787
8736.03     90.118   -42.737
8863.09     90.147   -43.805
8992.01     90.151   -44.917
9122.80     90.138   -46.008
9255.50     90.111   -47.036
9390.12     90.087   -47.990
9526.70     90.076   -48.924
9665.27     90.071   -49.886
9805.86     90.076   -50.910
9948.49     90.082   -52.035
10093.2     90.079   -53.252
10240.0     90.062   -54.527
10388.9     90.032   -55.822
10540.1     89.992   -57.117
10693.4     89.946   -58.408
10848.9     89.900   -59.714
11006.7     89.850   -61.067
11166.8     89.789   -62.469
11329.2     89.713   -63.906
11494.0     89.615   -65.343
11661.2     89.496   -66.718
11830.8     89.363   -67.993
12002.9     89.222   -69.159
12177.5     89.078   -70.206
12354.6     88.936   -71.125
12534.3     88.811   -71.940
12716.6     88.702   -72.703
12901.6     88.613   -73.446
13089.2     88.551   -74.237
13279.6     88.501   -75.133
13472.8     88.457   -76.132
13668.8     88.423   -77.266
13867.6     88.380   -78.542
14069.3     88.332   -79.944
14273.9     88.274   -81.498
14481.5     88.187   -83.177
14692.2     88.073   -84.928
14905.9     87.926   -86.723
15122.7     87.736   -88.489
15342.7     87.511   -90.149
15565.8     87.253   -91.666
15792.2     86.957   -92.966
16021.9     86.637   -93.967
16255.0     86.299   -94.605
16491.4     85.958   -94.800
16731.3     85.651   -94.557
16974.7     85.400   -93.956
17221.6     85.233   -93.128
17472.1     85.168   -92.295
17726.2     85.186   -91.662
17984.0     85.270   -91.363
18245.6     85.387   -91.467
18511.0     85.515   -91.960
18780.2     85.644   -92.803
19053.4     85.760   -93.950
19330.5     85.865   -95.361
19611.7     85.947   -97.008
19897.0     85.999   -98.810
20186.4     86.029  -100.675
20480.0     86.053  -102.559
20777.9     86.098  -104.501
21080.1     86.193  -106.695
21386.7     86.322  -109.421
