Freq[Hz]     dBSPL  Phase[Deg]
30685.3     88.133     1.423
31131.7     88.133     1.402
31584.5     88.133     1.382
32043.9     88.133     1.362
32510.0     88.133     1.343
32982.8     88.133     1.323
33462.6     88.133     1.304
33949.3     88.133     1.286
34443.1     88.133     1.267
34944.1     88.133     1.249
35452.4     88.133     1.231
35968.0     88.133     1.214
36491.2     88.133     1.196
37022.0     88.133     1.179
37560.5     88.133     1.162
38106.8     88.133     1.145
38661.1     88.133     1.129
39223.4     88.133     1.113
39793.9     88.133     1.097
