Freq[Hz]     dBSPL  Phase[Deg]
649.309     90.088    -5.384
658.753     90.233    -5.731
668.335     90.398    -6.366
678.056     90.562    -7.343
687.919     90.696    -8.659
697.925     90.766   -10.170
708.077     90.776   -11.675
718.376     90.737   -13.019
728.825     90.680   -14.136
739.426     90.617   -15.042
750.181     90.569   -15.796
761.093     90.536   -16.475
772.163     90.518   -17.150
783.394     90.508   -17.880
794.789     90.486   -18.671
806.349     90.442   -19.467
818.078     90.368   -20.167
829.977     90.272   -20.653
842.050     90.167   -20.834
854.298     90.088   -20.693
866.724     90.061   -20.318
879.330     90.098   -19.840
892.120     90.213   -19.453
905.097     90.375   -19.324
918.262     90.554   -19.471
931.618     90.749   -19.893
945.169     90.938   -20.593
958.917     91.100   -21.474
972.864     91.245   -22.432
987.015     91.381   -23.408
1001.37     91.517   -24.360
1015.94     91.681   -25.305
1030.71     91.895   -26.410
1045.71     92.135   -27.867
1060.92     92.373   -29.781
1076.35     92.570   -32.154
1092.00     92.692   -34.844
1107.89     92.737   -37.625
1124.00     92.720   -40.347
1140.35     92.665   -42.961
1156.94     92.577   -45.488
1173.77     92.450   -47.915
1190.84     92.292   -50.229
1208.16     92.083   -52.367
1225.73     91.826   -54.175
1243.56     91.552   -55.563
1261.65     91.279   -56.518
1280.00     91.040   -57.089
1298.62     90.853   -57.400
1317.51     90.726   -57.590
1336.67     90.659   -57.796
1356.11     90.641   -58.147
1375.84     90.652   -58.741
1395.85     90.661   -59.573
1416.15     90.662   -60.602
1436.75     90.631   -61.754
1457.65     90.568   -62.887
1478.85     90.494   -63.937
1500.36     90.411   -64.893
1522.19     90.330   -65.752
1544.33     90.252   -66.532
1566.79     90.176   -67.225
1589.58     90.110   -67.822
1612.70     90.053   -68.322
1636.16     90.017   -68.735
1659.95     90.006   -69.102
1684.10     90.013   -69.433
1708.60     90.054   -69.762
1733.45     90.118   -70.135
1758.66     90.203   -70.551
1784.24     90.305   -71.013
1810.19     90.421   -71.487
1836.52     90.554   -71.897
1863.24     90.733   -72.224
1890.34     90.970   -72.493
1917.83     91.308   -72.818
1945.73     91.755   -73.401
1974.03     92.321   -74.485
2002.74     92.993   -76.402
2031.87     93.702   -79.398
2061.43     94.402   -83.542
2091.41     95.060   -88.937
2121.83     95.575   -95.654
2152.69     95.959  -103.334
2184.01     96.194  -111.870
2215.77     96.226  -121.070
2248.00     96.025  -130.517
2280.70     95.618  -139.899
2313.87     94.974  -148.903
2347.53     94.127  -157.112
2381.68     93.126  -164.370
2416.32     91.924  -170.252
2451.46     90.647  -174.496
2487.12     89.353  -177.405
2523.30     88.027  -178.977
2560.00     86.891  -179.585
2597.24     85.865  -179.762
2635.01     84.900  -179.434
2673.34     84.069  -178.718
2712.23     83.279  -177.741
2751.68     82.596  -176.496
2791.70     82.044  -175.240
2832.31     81.584  -174.194
2873.50     81.185  -173.387
2915.30     80.844  -172.848
2957.70     80.544  -172.642
3000.72     80.255  -172.759
3044.37     79.986  -173.191
3088.65     79.720  -173.992
3133.58     79.439  -175.184
3179.16     79.107  -176.688
3225.40     78.714  -178.357
