Freq[Hz]  Imp[Ohm]  Phase[Deg]
2381.68      0.200    -7.578
2416.32      0.200    -7.181
2451.46      0.199    -6.745
2487.12      0.199    -6.293
2523.30      0.198    -5.865
2560.00      0.198    -5.477
2597.24      0.198    -5.126
2635.01      0.198    -4.809
2673.34      0.198    -4.524
2712.23      0.198    -4.269
2751.68      0.198    -4.041
2791.70      0.198    -3.824
2832.31      0.197    -3.597
2873.50      0.197    -3.355
2915.30      0.197    -3.094
2957.70      0.196    -2.803
3000.72      0.195    -2.480
3044.37      0.195    -2.137
3088.65      0.195    -1.774
3133.58      0.194    -1.396
3179.16      0.194    -1.022
3225.40      0.194    -0.667
3272.31      0.194    -0.330
3319.91      0.194    -0.008
3368.20      0.194     0.303
3417.19      0.194     0.608
3466.89      0.194     0.906
3517.32      0.194     1.201
3568.48      0.194     1.491
3620.39      0.194     1.779
3673.05      0.194     2.065
3726.47      0.194     2.350
3780.67      0.194     2.633
3835.67      0.194     2.916
3891.46      0.194     3.198
3948.06      0.194     3.481
4005.49      0.194     3.765
4063.75      0.194     4.050
4122.86      0.194     4.337
4182.82      0.194     4.627
4243.66      0.194     4.921
4305.39      0.194     5.219
4368.01      0.194     5.525
4431.55      0.194     5.844
4496.01      0.194     6.177
4561.40      0.194     6.523
4627.75      0.195     6.866
4695.06      0.195     7.182
4763.35      0.195     7.463
4832.64      0.196     7.713
4902.93      0.196     7.935
4974.24      0.196     8.156
5046.60      0.196     8.393
5120.00      0.196     8.648
5194.47      0.196     8.921
5270.03      0.196     9.208
5346.68      0.196     9.508
5424.45      0.196     9.821
5503.35      0.196    10.153
5583.40      0.196    10.508
5664.61      0.196    10.894
5747.01      0.197    11.305
5830.60      0.197    11.725
5915.41      0.198    12.114
6001.45      0.198    12.444
6088.74      0.199    12.711
6177.30      0.200    12.926
6267.15      0.200    13.119
6358.31      0.200    13.332
6450.80      0.200    13.584
6544.62      0.200    13.882
6639.82      0.200    14.224
6736.40      0.201    14.608
6834.38      0.201    15.015
6933.79      0.202    15.411
7034.64      0.202    15.772
7136.96      0.203    16.080
7240.77      0.204    16.339
7346.09      0.204    16.579
7452.94      0.205    16.836
7561.35      0.205    17.143
7671.33      0.205    17.509
7782.91      0.205    17.914
7896.12      0.206    18.312
8010.97      0.207    18.673
8127.49      0.208    18.994
8245.71      0.208    19.286
8365.65      0.209    19.583
8487.33      0.210    19.909
8610.78      0.210    20.248
8736.03      0.211    20.572
8863.09      0.212    20.873
8992.01      0.213    21.153
9122.80      0.213    21.442
9255.50      0.214    21.759
9390.12      0.215    22.087
9526.70      0.216    22.396
9665.27      0.217    22.682
9805.86      0.217    22.950
9948.49      0.218    23.227
10093.2      0.219    23.546
10240.0      0.219    23.888
10388.9      0.220    24.218
10540.1      0.221    24.531
10693.4      0.222    24.829
10848.9      0.223    25.131
11006.7      0.223    25.462
11166.8      0.224    25.804
11329.2      0.225    26.142
11494.0      0.226    26.473
11661.2      0.227    26.796
11830.8      0.228    27.127
12002.9      0.229    27.462
12177.5      0.230    27.799
12354.6      0.231    28.136
12534.3      0.232    28.458
12716.6      0.234    28.762
12901.6      0.235    29.063
13089.2      0.236    29.368
13279.6      0.237    29.679
13472.8      0.238    29.991
13668.8      0.239    30.294
13867.6      0.240    30.602
14069.3      0.241    30.916
14273.9      0.243    31.223
14481.5      0.244    31.532
14692.2      0.245    31.851
14905.9      0.246    32.180
15122.7      0.247    32.522
15342.7      0.248    32.869
15565.8      0.250    33.219
15792.2      0.251    33.582
16021.9      0.252    33.950
16255.0      0.254    34.301
16491.4      0.255    34.644
16731.3      0.257    34.999
16974.7      0.258    35.345
17221.6      0.260    35.657
17472.1      0.261    35.969
17726.2      0.263    36.301
17984.0      0.264    36.640
18245.6      0.266    36.988
18511.0      0.267    37.360
18780.2      0.269    37.741
19053.4      0.271    38.098
19330.5      0.272    38.455
19611.7      0.274    38.830
19897.0      0.276    39.197
20186.4      0.278    39.567
20480.0      0.280    39.952
20777.9      0.282    40.327
21080.1      0.284    40.697
21386.7      0.286    41.069
21697.8      0.289    41.417
22013.4      0.291    41.764
22333.6      0.293    42.116
22658.4      0.295    42.454
22988.0      0.298    42.811
23322.4      0.300    43.177
23661.6      0.303    43.536
24005.8      0.305    43.897
24355.0      0.308    44.242
24709.2      0.311    44.572
25068.6      0.314    44.879
25433.2      0.316    45.184
25803.2      0.319    45.502
26178.5      0.322    45.826
26559.3      0.325    46.169
26945.6      0.328    46.497
27337.5      0.331    46.787
27735.2      0.334    47.058
28138.6      0.337    47.315
28547.9      0.340    47.583
28963.1      0.343    47.890
29384.4      0.346    48.237
29811.8      0.350    48.584
30245.4      0.353    48.913
30685.3      0.357    49.227
31131.7      0.361    49.520
31584.5      0.365    49.809
32043.9      0.368    50.092
32510.0      0.372    50.369
32982.8      0.377    50.640
33462.6      0.381    50.900
33949.3      0.385    51.167
34443.1      0.389    51.440
34944.1      0.394    51.702
35452.4      0.399    51.929
35968.0      0.404    52.117
36491.2      0.408    52.297
37022.0      0.413    52.493
37560.5      0.418    52.719
38106.8      0.423    52.932
38661.1      0.428    53.089
39223.4      0.432    53.198
39793.9      0.435    53.244
