Freq[Hz]     dBSPL  Phase[Deg]
687.919     88.695    95.379
697.925     88.709    94.252
708.077     88.734    93.536
718.376     88.818    93.142
728.825     88.979    92.845
739.426     89.206    92.436
750.181     89.480    91.757
761.093     89.769    90.727
772.163     90.043    89.388
783.394     90.295    87.828
794.789     90.520    86.116
806.349     90.719    84.319
818.078     90.897    82.479
829.977     91.057    80.607
842.050     91.199    78.713
854.298     91.320    76.824
866.724     91.431    74.945
879.330     91.529    73.056
892.120     91.608    71.168
905.097     91.669    69.302
918.262     91.708    67.481
931.618     91.727    65.758
945.169     91.737    64.154
958.917     91.742    62.660
972.864     91.746    61.262
987.015     91.750    59.952
1001.37     91.755    58.731
1015.94     91.766    57.603
1030.71     91.790    56.545
1045.71     91.836    55.493
1060.92     91.897    54.368
1076.35     91.956    53.147
1092.00     92.008    51.839
1107.89     92.038    50.484
1124.00     92.041    49.183
1140.35     92.031    48.010
1156.94     92.021    46.985
1173.77     92.025    46.090
1190.84     92.059    45.238
1208.16     92.116    44.331
1225.73     92.185    43.300
1243.56     92.251    42.124
1261.65     92.296    40.855
1280.00     92.318    39.580
1298.62     92.322    38.361
1317.51     92.317    37.244
1336.67     92.319    36.235
1356.11     92.341    35.265
1375.84     92.382    34.224
1395.85     92.419    33.069
1416.15     92.442    31.835
1436.75     92.440    30.589
1457.65     92.413    29.451
1478.85     92.386    28.485
1500.36     92.385    27.637
1522.19     92.422    26.770
1544.33     92.489    25.731
1566.79     92.559    24.433
1589.58     92.610    22.874
1612.70     92.614    21.136
1636.16     92.559    19.373
1659.95     92.452    17.744
1684.10     92.307    16.361
1708.60     92.145    15.284
1733.45     91.993    14.497
1758.66     91.867    13.915
1784.24     91.776    13.423
1810.19     91.714    12.909
1836.52     91.663    12.321
1863.24     91.616    11.648
1890.34     91.553    10.920
1917.83     91.469    10.231
1945.73     91.373     9.652
1974.03     91.269     9.231
2002.74     91.176     8.994
2031.87     91.117     8.878
2061.43     91.091     8.785
2091.41     91.106     8.608
2121.83     91.147     8.224
2152.69     91.187     7.592
2184.01     91.207     6.745
2215.77     91.190     5.758
2248.00     91.121     4.777
2280.70     91.008     3.970
2313.87     90.871     3.461
2347.53     90.745     3.266
2381.68     90.657     3.289
2416.32     90.620     3.373
2451.46     90.627     3.355
2487.12     90.657     3.127
2523.30     90.678     2.693
2560.00     90.674     2.153
2597.24     90.650     1.603
2635.01     90.611     1.095
2673.34     90.563     0.663
2712.23     90.522     0.291
2751.68     90.484    -0.059
2791.70     90.452    -0.421
2832.31     90.415    -0.810
2873.50     90.365    -1.195
2915.30     90.297    -1.516
2957.70     90.216    -1.691
3000.72     90.138    -1.676
3044.37     90.081    -1.490
3088.65     90.059    -1.203
3133.58     90.077    -0.923
3179.16     90.126    -0.742
3225.40     90.196    -0.710
3272.31     90.273    -0.842
3319.91     90.350    -1.130
3368.20     90.418    -1.556
3417.19     90.470    -2.081
3466.89     90.503    -2.659
3517.32     90.516    -3.231
3568.48     90.513    -3.738
3620.39     90.505    -4.144
3673.05     90.505    -4.458
3726.47     90.521    -4.727
3780.67     90.558    -5.014
3835.67     90.613    -5.396
3891.46     90.672    -5.925
3948.06     90.723    -6.612
4005.49     90.745    -7.401
4063.75     90.733    -8.175
4122.86     90.701    -8.857
4182.82     90.651    -9.386
4243.66     90.604    -9.734
4305.39     90.579    -9.956
4368.01     90.575   -10.123
4431.55     90.597   -10.297
4496.01     90.638   -10.537
4561.40     90.692   -10.878
4627.75     90.751   -11.343
4695.06     90.804   -11.925
4763.35     90.844   -12.585
4832.64     90.869   -13.278
4902.93     90.882   -13.960
4974.24     90.890   -14.607
5046.60     90.897   -15.218
5120.00     90.913   -15.826
5194.47     90.933   -16.475
5270.03     90.951   -17.183
5346.68     90.962   -17.947
5424.45     90.955   -18.737
5503.35     90.930   -19.489
5583.40     90.892   -20.148
5664.61     90.853   -20.690
5747.01     90.823   -21.129
5830.60     90.809   -21.507
5915.41     90.814   -21.879
6001.45     90.831   -22.288
6088.74     90.854   -22.739
6177.30     90.883   -23.223
6267.15     90.918   -23.738
6358.31     90.965   -24.300
6450.80     91.025   -24.960
6544.62     91.089   -25.765
6639.82     91.146   -26.726
6736.40     91.183   -27.817
6834.38     91.191   -28.978
6933.79     91.168   -30.108
7034.64     91.131   -31.168
7136.96     91.077   -32.139
7240.77     91.020   -33.001
7346.09     90.968   -33.789
7452.94     90.912   -34.508
7561.35     90.869   -35.178
7671.33     90.828   -35.844
7782.91     90.780   -36.473
7896.12     90.735   -37.037
8010.97     90.689   -37.513
8127.49     90.657   -37.883
8245.71     90.656   -38.206
8365.65     90.684   -38.562
8487.33     90.746   -39.051
8610.78     90.822   -39.768
8736.03     90.883   -40.704
8863.09     90.921   -41.782
8992.01     90.924   -42.907
9122.80     90.896   -43.949
9255.50     90.862   -44.847
9390.12     90.830   -45.598
9526.70     90.827   -46.247
9665.27     90.859   -46.926
9805.86     90.913   -47.737
9948.49     90.978   -48.727
10093.2     91.037   -49.900
10240.0     91.080   -51.215
10388.9     91.102   -52.619
10540.1     91.106   -54.061
10693.4     91.096   -55.518
10848.9     91.074   -56.987
11006.7     91.039   -58.461
11166.8     90.991   -59.933
11329.2     90.927   -61.371
11494.0     90.853   -62.753
11661.2     90.771   -64.068
11830.8     90.689   -65.315
12002.9     90.608   -66.514
12177.5     90.529   -67.672
12354.6     90.458   -68.802
12534.3     90.394   -69.944
12716.6     90.331   -71.104
12901.6     90.275   -72.298
13089.2     90.215   -73.548
13279.6     90.149   -74.839
13472.8     90.071   -76.142
13668.8     89.984   -77.421
13867.6     89.889   -78.647
14069.3     89.801   -79.827
14273.9     89.717   -80.990
14481.5     89.648   -82.184
14692.2     89.581   -83.459
14905.9     89.511   -84.828
15122.7     89.427   -86.278
15342.7     89.326   -87.785
15565.8     89.193   -89.292
15792.2     89.038   -90.739
16021.9     88.853   -92.066
16255.0     88.645   -93.188
16491.4     88.423   -94.031
16731.3     88.212   -94.572
16974.7     88.025   -94.834
17221.6     87.889   -94.888
17472.1     87.807   -94.842
17726.2     87.791   -94.828
17984.0     87.822   -94.956
18245.6     87.893   -95.279
18511.0     87.991   -95.846
18780.2     88.098   -96.644
19053.4     88.216   -97.644
19330.5     88.340   -98.847
19611.7     88.462  -100.229
19897.0     88.588  -101.765
20186.4     88.716  -103.451
20480.0     88.850  -105.260
20777.9     89.011  -107.222
21080.1     89.209  -109.473
21386.7     89.431  -112.167
21697.8     89.659  -115.448
22013.4     89.853  -119.408
22333.6     89.956  -123.956
22658.4     89.948  -128.858
22988.0     89.826  -133.884
23322.4     89.589  -138.799
23661.6     89.272  -143.446
24005.8     88.903  -147.815
24355.0     88.494  -151.943
24709.2     88.060  -155.896
25068.6     87.598  -159.762
25433.2     87.093  -163.577
25803.2     86.529  -167.305
26178.5     85.893  -170.882
26559.3     85.156  -174.149
26945.6     84.292  -176.753
27337.5     83.329  -178.315
27735.2     82.278  -178.478
28138.6     81.218  -176.945
28547.9     80.301  -173.828
28963.1     79.653  -169.611
29384.4     79.384  -164.988
29811.8     79.527  -160.865
30245.4     79.969  -158.028
30685.3     80.581  -156.953
31131.7     81.218  -157.831
31584.5     81.764  -160.487
32043.9     82.176  -164.586
32510.0     82.408  -169.747
32982.8     82.446  -175.536
33462.6     82.296   178.413
33949.3     81.974   172.368
34443.1     81.485   166.516
34944.1     80.812   161.165
35452.4     80.002   156.613
35968.0     79.077   153.030
36491.2     78.054   150.609
37022.0     77.018   149.409
37560.5     76.036   149.252
38106.8     75.214   149.734
38661.1     74.558   150.541
39223.4     74.112   151.293
39793.9     73.811   151.926
