Freq[Hz]  Imp[Ohm]  Phase[Deg]
2002.74     17.349    49.557
2031.87     17.887    49.375
2061.43     18.489    48.872
2091.41     19.130    47.907
2121.83     19.707    46.446
2152.69     20.180    44.517
2184.01     20.428    42.210
2215.77     20.359    39.822
2248.00     20.009    37.682
2280.70     19.401    36.100
2313.87     18.674    35.327
2347.53     17.999    35.345
2381.68     17.443    35.988
2416.32     17.064    37.042
2451.46     16.859    38.260
2487.12     16.784    39.467
2523.30     16.801    40.569
2560.00     16.865    41.550
2597.24     16.966    42.429
2635.01     17.092    43.217
2673.34     17.245    43.912
2712.23     17.407    44.508
2751.68     17.566    45.041
2791.70     17.734    45.517
2832.31     17.893    45.951
2873.50     18.049    46.378
2915.30     18.214    46.802
2957.70     18.387    47.208
3000.72     18.566    47.592
3044.37     18.745    47.965
3088.65     18.932    48.339
3133.58     19.137    48.693
3179.16     19.352    49.008
3225.40     19.566    49.289
3272.31     19.785    49.536
3319.91     19.992    49.760
3368.20     20.194    49.994
3417.19     20.405    50.238
3466.89     20.630    50.475
3517.32     20.870    50.677
3568.48     21.107    50.837
3620.39     21.334    50.975
3673.05     21.558    51.103
3726.47     21.773    51.235
3780.67     21.994    51.378
3835.67     22.228    51.507
3891.46     22.461    51.607
3948.06     22.686    51.688
4005.49     22.903    51.762
4063.75     23.111    51.831
4122.86     23.300    51.915
4182.82     23.477    52.045
4243.66     23.664    52.225
4305.39     23.866    52.443
4368.01     24.095    52.682
4431.55     24.361    52.905
4496.01     24.648    53.078
4561.40     24.942    53.186
4627.75     25.221    53.244
4695.06     25.482    53.284
4763.35     25.736    53.314
4832.64     25.967    53.346
4902.93     26.187    53.409
4974.24     26.414    53.490
5046.60     26.626    53.595
5120.00     26.843    53.746
5194.47     27.087    53.922
5270.03     27.343    54.108
5346.68     27.626    54.302
5424.45     27.945    54.470
5503.35     28.281    54.593
5583.40     28.636    54.650
5664.61     28.977    54.631
5747.01     29.275    54.577
5830.60     29.547    54.520
5915.41     29.777    54.492
6001.45     29.998    54.525
6088.74     30.235    54.599
6177.30     30.481    54.698
6267.15     30.744    54.811
6358.31     31.017    54.926
6450.80     31.300    55.048
6544.62     31.604    55.165
6639.82     31.921    55.263
6736.40     32.247    55.331
6834.38     32.563    55.365
6933.79     32.858    55.381
7034.64     33.110    55.417
7136.96     33.359    55.503
7240.77     33.613    55.628
7346.09     33.868    55.800
7452.94     34.157    56.020
7561.35     34.495    56.255
7671.33     34.885    56.467
7782.91     35.302    56.638
7896.12     35.746    56.754
8010.97     36.205    56.792
