Freq[Hz]     dBSPL  Phase[Deg]
1974.03     85.544     1.944
2002.74     85.544     1.916
2031.87     85.543     1.888
2061.43     85.543     1.861
2091.41     85.543     1.835
2121.83     85.543     1.808
2152.69     85.543     1.782
2184.01     85.543     1.757
2215.77     85.543     1.732
2248.00     85.542     1.707
2280.70     85.542     1.682
2313.87     85.542     1.658
2347.53     85.542     1.634
2381.68     85.542     1.611
2416.32     85.542     1.588
2451.46     85.542     1.565
2487.12     85.542     1.542
2523.30     85.541     1.520
2560.00     85.541     1.499
2597.24     85.541     1.477
2635.01     85.541     1.456
2673.34     85.541     1.435
2712.23     85.541     1.414
2751.68     85.541     1.394
2791.70     85.541     1.374
2832.31     85.541     1.354
2873.50     85.541     1.335
2915.30     85.540     1.316
2957.70     85.540     1.297
3000.72     85.540     1.278
3044.37     85.540     1.260
3088.65     85.540     1.242
3133.58     85.540     1.224
3179.16     85.540     1.207
3225.40     85.540     1.189
3272.31     85.540     1.172
3319.91     85.540     1.155
3368.20     85.540     1.139
3417.19     85.540     1.123
3466.89     85.540     1.106
3517.32     85.540     1.091
3568.48     85.540     1.075
3620.39     85.539     1.060
3673.05     85.539     1.044
3726.47     85.539     1.029
3780.67     85.539     1.015
3835.67     85.539     1.000
3891.46     85.539     0.986
3948.06     85.539     0.972
4005.49     85.539     0.958
4063.75     85.539     0.944
4122.86     85.539     0.930
4182.82     85.539     0.917
4243.66     85.539     0.904
4305.39     85.539     0.891
4368.01     85.539     0.878
4431.55     85.539     0.866
4496.01     85.539     0.853
4561.40     85.539     0.841
4627.75     85.539     0.829
4695.06     85.539     0.817
4763.35     85.539     0.805
4832.64     85.539     0.794
4902.93     85.539     0.782
4974.24     85.539     0.771
5046.60     85.539     0.760
5120.00     85.539     0.749
5194.47     85.539     0.738
5270.03     85.539     0.728
5346.68     85.538     0.717
5424.45     85.538     0.707
5503.35     85.538     0.697
5583.40     85.538     0.687
5664.61     85.538     0.677
5747.01     85.538     0.667
5830.60     85.538     0.658
5915.41     85.538     0.648
6001.45     85.538     0.639
6088.74     85.538     0.630
6177.30     85.538     0.621
6267.15     85.538     0.612
6358.31     85.538     0.603
6450.80     85.538     0.595
6544.62     85.538     0.586
6639.82     85.538     0.578
6736.40     85.538     0.569
6834.38     85.538     0.561
6933.79     85.538     0.553
7034.64     85.538     0.545
7136.96     85.538     0.537
7240.77     85.538     0.530
7346.09     85.538     0.522
7452.94     85.538     0.515
7561.35     85.538     0.507
7671.33     85.538     0.500
7782.91     85.538     0.493
7896.12     85.538     0.486
8010.97     85.538     0.479
8127.49     85.538     0.472
8245.71     85.538     0.465
8365.65     85.538     0.458
8487.33     85.538     0.452
8610.78     85.538     0.445
8736.03     85.538     0.439
8863.09     85.538     0.433
8992.01     85.538     0.427
9122.80     85.538     0.420
9255.50     85.538     0.414
9390.12     85.538     0.408
9526.70     85.538     0.403
9665.27     85.538     0.397
9805.86     85.538     0.391
9948.49     85.538     0.386
10093.2     85.538     0.380
10240.0     85.538     0.375
10388.9     85.538     0.369
10540.1     85.538     0.364
10693.4     85.538     0.359
